,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,label
'Til Summer Comes Around,0.593,0.57,331467,0.629,0.000136,9,0.77,-7.608,0.0331,127.90700000000001,4,0.308,0
(Kissed You) Good Night,0.0807,0.523,232903,0.747,0.0,11,0.11,-6.125,0.0292,118.97,4,0.294,0
***Flawless,0.24100000000000002,0.639,234413,0.659,8.33e-06,8,0.484,-7.273,0.215,136.80100000000002,4,0.457,0
1 Night,0.366,0.762,243270,0.47600000000000003,0.0,0,0.10300000000000001,-12.686,0.114,130.007,4,0.375,0
10 Bands,0.23,0.835,177733,0.7559999999999999,0.0,7,0.0801,-3.7889999999999997,0.382,173.0,4,0.87,0
100,0.763,0.7070000000000001,275227,0.7090000000000001,0.0,11,0.27399999999999997,-3.9789999999999996,0.34,89.094,4,0.501,0
143,0.0113,0.8340000000000001,206813,0.758,0.0,11,0.0238,-7.135,0.106,98.021,4,0.759,0
19 You + Me,0.319,0.493,217407,0.67,0.0,6,0.102,-5.131,0.0298,151.989,3,0.451,0
1901,0.0564,0.604,193107,0.825,5.7999999999999994e-05,0,0.192,-5.372999999999999,0.0429,144.085,4,0.7070000000000001,0
1994,0.183,0.598,242680,0.777,0.0,11,0.111,-6.676,0.0396,159.942,4,0.821,0
2 On,0.0293,0.872,307773,0.723,0.0,1,0.327,-5.968,0.247,93.279,4,0.843,0
2 Phones,0.157,0.895,240000,0.6809999999999999,0.0,7,0.18899999999999997,-5.267,0.358,121.91799999999999,4,0.5539999999999999,0
2 Reasons,0.124,0.6609999999999999,166849,0.703,0.00346,9,0.0931,-2.204,0.0686,145.942,4,0.659,0
24 Hours,0.0148,0.7559999999999999,255484,0.507,0.0,7,0.0803,-8.156,0.037000000000000005,124.006,4,0.09,0
4 AM,0.122,0.7959999999999999,255560,0.513,0.0,6,0.15,-7.14,0.452,75.018,4,0.235,0
5-1-5-0,0.0246,0.5539999999999999,182893,0.8490000000000001,0.000233,1,0.31,-5.181,0.0357,116.992,4,0.6829999999999999,0
50 Ways To Say Goodbye,0.00028399999999999996,0.591,247947,0.935,0.000278,6,0.142,-2.6639999999999997,0.0478,140.043,4,0.736,0
80s Mercedes,0.0665,0.485,211767,0.8340000000000001,0.0,9,0.28,-5.412999999999999,0.0715,90.93299999999999,4,0.659,0
