,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
#Beautiful,0.214,https://api.spotify.com/v1/audio-analysis/5TVirkSwFEXF1nLJEebe2I,0.666,178242,0.677,5TVirkSwFEXF1nLJEebe2I,0,2,0.0979,-5.743,1,0.0326,100.014,4,https://api.spotify.com/v1/tracks/5TVirkSwFEXF1nLJEebe2I,audio_features,spotify:track:5TVirkSwFEXF1nLJEebe2I,0.178
#SELFIE,0.0134,https://api.spotify.com/v1/audio-analysis/1HOlb9rdNOmy9b1Fakicjo,0.807,183750,0.916,1HOlb9rdNOmy9b1Fakicjo,1.22e-05,0,0.0787,-3.282,1,0.226,127.973,4,https://api.spotify.com/v1/tracks/1HOlb9rdNOmy9b1Fakicjo,audio_features,spotify:track:1HOlb9rdNOmy9b1Fakicjo,0.651
#thatPOWER,0.00162,https://api.spotify.com/v1/audio-analysis/01TuObJVd7owWchVRuQbQw,0.791,279507,0.615,01TuObJVd7owWchVRuQbQw,6.47e-05,6,0.0812,-6.149,0,0.0667,128.017,4,https://api.spotify.com/v1/tracks/01TuObJVd7owWchVRuQbQw,audio_features,spotify:track:01TuObJVd7owWchVRuQbQw,0.393
0 To 100 / The Catch Up,0.763,https://api.spotify.com/v1/audio-analysis/4jtyUzZm9WLc2AdaJ1dso7,0.707,275227,0.709,4jtyUzZm9WLc2AdaJ1dso7,0,11,0.274,-3.979,0,0.34,89.094,4,https://api.spotify.com/v1/tracks/4jtyUzZm9WLc2AdaJ1dso7,audio_features,spotify:track:4jtyUzZm9WLc2AdaJ1dso7,0.501
1-800-273-8255,0.57,https://api.spotify.com/v1/audio-analysis/5tz69p7tJuGPeMGwNTxYuV,0.629,250173,0.572,5tz69p7tJuGPeMGwNTxYuV,0,5,0.192,-7.733,0,0.0387,100.015,4,https://api.spotify.com/v1/tracks/5tz69p7tJuGPeMGwNTxYuV,audio_features,spotify:track:5tz69p7tJuGPeMGwNTxYuV,0.386
2012 (It Ain't The End),0.226,https://api.spotify.com/v1/audio-analysis/1ERCOXHQcoLSTlgmNTlcrR,0.718,222200,0.801,1ERCOXHQcoLSTlgmNTlcrR,0,0,0.39,-2.581,1,0.0386,127.016,4,https://api.spotify.com/v1/tracks/1ERCOXHQcoLSTlgmNTlcrR,audio_features,spotify:track:1ERCOXHQcoLSTlgmNTlcrR,0.538
22,0.415,https://api.spotify.com/v1/audio-analysis/3iv26BUAWSn83q8rhGKPE8,0.635,216983,0.646,3iv26BUAWSn83q8rhGKPE8,0.00055,10,0.42,-5.246,1,0.0462,117.956,3,https://api.spotify.com/v1/tracks/3iv26BUAWSn83q8rhGKPE8,audio_features,spotify:track:3iv26BUAWSn83q8rhGKPE8,0.344
24K Magic,0.034,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P,0.818,225983,0.803,6b8Be6ljOzmkOmFslEb23P,0,1,0.153,-4.282,1,0.0797,106.97,4,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,audio_features,spotify:track:6b8Be6ljOzmkOmFslEb23P,0.632
5 O'Clock,0.168,https://api.spotify.com/v1/audio-analysis/6j236RwzFFj4wqH2tWJNBD,0.4,281533,0.882,6j236RwzFFj4wqH2tWJNBD,0,7,0.124,-1.958,0,0.334,167.114,4,https://api.spotify.com/v1/tracks/6j236RwzFFj4wqH2tWJNBD,audio_features,spotify:track:6j236RwzFFj4wqH2tWJNBD,0.385
5-1-5-0,0.0246,https://api.spotify.com/v1/audio-analysis/2WKCH4ISejDV9ad7iPp5XU,0.554,182893,0.849,2WKCH4ISejDV9ad7iPp5XU,0.000233,1,0.31,-5.181,0,0.0357,116.992,4,https://api.spotify.com/v1/tracks/2WKCH4ISejDV9ad7iPp5XU,audio_features,spotify:track:2WKCH4ISejDV9ad7iPp5XU,0.683
