,loss,sec
0,193.895,229.9
1,194.411,259.7
2,189.465,280.1
3,189.3,273.2
4,186.7,279.4
5,189.902,272.3
6,187.3,282.0
7,193.512,287.4
8,195.89,275.0
9,186.141,281.0
10,195.228,252.9
11,200.07,281.7
12,187.972,276.8
13,192.928,275.4
14,190.81,275.5
15,189.65,280.0
16,194.798,277.9
17,190.489,281.2
18,181.26,285.9
19,190.36,264.8
20,185.55,278.5
21,195.44,231.8
22,191.97,271.6
23,193.738,279.6
24,185.78,276.6
25,186.277,260.5
26,187.222,263.5
27,195.471,273.2
28,188.076,276.0
29,185.146,286.9
30,194.857,279.9
31,195.739,261.4
32,193.075,246.4
33,193.64,274.5
34,185.738,274.7
35,189.03,252.4
36,186.62,260.3
37,191.918,262.0
38,192.43,265.8
39,186.494,270.4
40,191.249,273.5
41,191.958,247.6
42,195.008,221.2
43,191.225,264.2
44,189.338,260.2
45,188.65,255.3
46,184.632,254.7
47,196.793,273.8
48,193.902,274.1
49,184.746,183.76093
