,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,label
#Beautiful,0.214,0.6659999999999999,178242,0.677,0.0,2,0.0979,-5.742999999999999,0.0326,100.014,4,0.17800000000000002,1
#SELFIE,0.0134,0.807,183750,0.9159999999999999,1.22e-05,0,0.0787,-3.282,0.226,127.973,4,0.6509999999999999,1
#thatPOWER,0.00162,0.7909999999999999,279507,0.615,6.47e-05,6,0.0812,-6.149,0.0667,128.017,4,0.39299999999999996,1
0 To 100 / The Catch Up,0.763,0.7070000000000001,275227,0.7090000000000001,0.0,11,0.27399999999999997,-3.9789999999999996,0.34,89.094,4,0.501,1
1-800-273-8255,0.57,0.629,250173,0.5720000000000001,0.0,5,0.192,-7.733,0.0387,100.015,4,0.386,1
2012 (It Ain't The End),0.226,0.718,222200,0.8009999999999999,0.0,0,0.39,-2.5810000000000004,0.0386,127.016,4,0.5379999999999999,1
22,0.415,0.635,216983,0.6459999999999999,0.00055,10,0.42,-5.246,0.0462,117.956,3,0.344,1
24K Magic,0.034,0.818,225983,0.8029999999999999,0.0,1,0.153,-4.282,0.0797,106.97,4,0.632,1
5 O'Clock,0.168,0.4,281533,0.882,0.0,7,0.124,-1.9580000000000002,0.33399999999999996,167.114,4,0.385,1
5-1-5-0,0.0246,0.5539999999999999,182893,0.8490000000000001,0.000233,1,0.31,-5.181,0.0357,116.992,4,0.6829999999999999,1
679,0.00256,0.618,196693,0.7170000000000001,0.0,7,0.625,-5.7379999999999995,0.318,190.05,4,0.603,1
7 Years,0.287,0.765,237300,0.473,0.0,10,0.391,-5.829,0.0514,119.992,4,0.34,1
A Holly Jolly Christmas,0.644,0.665,133293,0.363,0.0,0,0.15,-12.982999999999999,0.0318,140.296,4,0.8240000000000001,1
A Sky Full Of Stars,0.00713,0.551,268467,0.636,0.00203,6,0.217,-7.125,0.0281,124.99600000000001,4,0.153,1
According To You,0.0221,0.607,200347,0.922,2.0399999999999998e-05,5,0.0965,-2.526,0.0558,130.972,4,0.5770000000000001,1
Adore You,0.111,0.583,278747,0.655,3.57e-06,0,0.113,-5.407,0.0315,119.759,4,0.201,1
Adventure Of A Lifetime,0.00205,0.638,263787,0.924,0.000173,7,0.149,-3.887,0.0359,111.995,4,0.529,1
Ain't Back Yet,0.0308,0.602,239813,0.9440000000000001,0.00256,10,0.436,-4.238,0.0427,106.958,4,0.797,1
Airplanes,0.11,0.66,180480,0.867,0.0,6,0.0368,-4.285,0.11599999999999999,93.03299999999999,4,0.377,1
Alejandro,0.00043,0.632,274213,0.789,0.00144,11,0.35600000000000004,-6.61,0.0557,98.986,4,0.35,1
