,1990-01-01,1990-01-06,1990-01-11,1990-01-16,1990-01-21,1990-01-26,1990-01-31,1990-02-05,1990-02-10,1990-02-15,1990-02-20,1990-02-25,1990-03-02,1990-03-07,1990-03-12,1990-03-17,1990-03-22,1990-03-27,1990-04-01,1990-04-06,1990-04-11,1990-04-16,1990-04-21,1990-04-26,1990-05-01,1990-05-06,1990-05-11,1990-05-16,1990-05-21,1990-05-26,1990-05-31,1990-06-05,1990-06-10,1990-06-15,1990-06-20,1990-06-25,1990-06-30,1990-07-05,1990-07-10,1990-07-15,1990-07-20,1990-07-25,1990-07-30,1990-08-04,1990-08-09,1990-08-14,1990-08-19,1990-08-24,1990-08-29,1990-09-03,1990-09-08,1990-09-13,1990-09-18,1990-09-23,1990-09-28,1990-10-03,1990-10-08,1990-10-13,1990-10-18,1990-10-23,1990-10-28,1990-11-02,1990-11-07,1990-11-12,1990-11-17,1990-11-22,1990-11-27,1990-12-02,1990-12-07,1990-12-12,1990-12-17,1990-12-22,1990-12-27
0,"Another Day In Paradise , Phil Collins","Another Day In Paradise , Phil Collins","Another Day In Paradise , Phil Collins","How Am I Supposed To Live Without You , Michael Bolton","How Am I Supposed To Live Without You , Michael Bolton","How Am I Supposed To Live Without You , Michael Bolton","How Am I Supposed To Live Without You , Michael Bolton","Opposites Attract , Paula Abdul (Duet With The Wild Pair)","Opposites Attract , Paula Abdul (Duet With The Wild Pair)","Opposites Attract , Paula Abdul (Duet With The Wild Pair)","Opposites Attract , Paula Abdul (Duet With The Wild Pair)","Escapade , Janet Jackson","Escapade , Janet Jackson","Escapade , Janet Jackson","Escapade , Janet Jackson","Escapade , Janet Jackson","Black Velvet , Alannah Myles","Black Velvet , Alannah Myles","Love Will Lead You Back , Taylor Dayne","Love Will Lead You Back , Taylor Dayne","I'll Be Your Everything , Tommy Page","Nothing Compares 2 U , Sinead O'Connor","Nothing Compares 2 U , Sinead O'Connor","Nothing Compares 2 U , Sinead O'Connor","Nothing Compares 2 U , Sinead O'Connor","Nothing Compares 2 U , Sinead O'Connor","Nothing Compares 2 U , Sinead O'Connor","Vogue , Madonna","Vogue , Madonna","Vogue , Madonna","Vogue , Madonna","Hold On , Wilson Phillips","It Must Have Been Love (From ""Pretty Woman"") , Roxette","It Must Have Been Love (From ""Pretty Woman"") , Roxette","It Must Have Been Love (From ""Pretty Woman"") , Roxette","Step By Step , New Kids On The Block","Step By Step , New Kids On The Block","Step By Step , New Kids On The Block","Step By Step , New Kids On The Block","She Ain't Worth It , Glenn Medeiros Featuring Bobby Brown","She Ain't Worth It , Glenn Medeiros Featuring Bobby Brown","She Ain't Worth It , Glenn Medeiros Featuring Bobby Brown","Vision Of Love , Mariah Carey","Vision Of Love , Mariah Carey","Vision Of Love , Mariah Carey","Vision Of Love , Mariah Carey","Vision Of Love , Mariah Carey","Vision Of Love , Mariah Carey","If Wishes Came True , Sweet Sensation","Blaze Of Glory (From ""Young Guns II"") , Jon Bon Jovi","Blaze Of Glory (From ""Young Guns II"") , Jon Bon Jovi","Release Me , Wilson Phillips","Release Me , Wilson Phillips","(Can't Live Without Your) Love And Affection , Nelson","(Can't Live Without Your) Love And Affection , Nelson","Close To You , Maxi Priest","Praying For Time , George Michael","Praying For Time , George Michael","I Don't Have The Heart , James Ingram","Black Cat , Janet Jackson","Ice Ice Baby , Vanilla Ice","Ice Ice Baby , Vanilla Ice","Love Takes Time , Mariah Carey","Love Takes Time , Mariah Carey","Love Takes Time , Mariah Carey","Love Takes Time , Mariah Carey","I'm Your Baby Tonight , Whitney Houston","Because I Love You (The Postman Song) , Stevie B","Because I Love You (The Postman Song) , Stevie B","Because I Love You (The Postman Song) , Stevie B","Because I Love You (The Postman Song) , Stevie B","Because I Love You (The Postman Song) , Stevie B","Because I Love You (The Postman Song) , Stevie B"
1,"Rhythm Nation , Janet Jackson","Rhythm Nation , Janet Jackson","Rhythm Nation , Janet Jackson","Pump Up The Jam , Technotronic Featuring Felly","Pump Up The Jam , Technotronic Featuring Felly","Pump Up The Jam , Technotronic Featuring Felly","Opposites Attract , Paula Abdul (Duet With The Wild Pair)","Two To Make It Right , Seduction","Two To Make It Right , Seduction","Two To Make It Right , Seduction","Escapade , Janet Jackson","Dangerous , Roxette","Dangerous , Roxette","Dangerous , Roxette","Black Velvet , Alannah Myles","Black Velvet , Alannah Myles","Love Will Lead You Back , Taylor Dayne","Love Will Lead You Back , Taylor Dayne","I'll Be Your Everything , Tommy Page","I'll Be Your Everything , Tommy Page","Don't Wanna Fall In Love , Jane Child","Don't Wanna Fall In Love , Jane Child","Don't Wanna Fall In Love , Jane Child","Don't Wanna Fall In Love , Jane Child","I Wanna Be Rich , Calloway","Vogue , Madonna","Vogue , Madonna","Nothing Compares 2 U , Sinead O'Connor","All I Wanna Do Is Make Love To You , Heart","All I Wanna Do Is Make Love To You , Heart","All I Wanna Do Is Make Love To You , Heart","Vogue , Madonna","Hold On , Wilson Phillips","Hold On , Wilson Phillips","Step By Step , New Kids On The Block","It Must Have Been Love (From ""Pretty Woman"") , Roxette","It Must Have Been Love (From ""Pretty Woman"") , Roxette","It Must Have Been Love (From ""Pretty Woman"") , Roxette","She Ain't Worth It , Glenn Medeiros Featuring Bobby Brown","Hold On , En Vogue","Hold On , En Vogue","Vision Of Love , Mariah Carey","Cradle Of Love (From ""Ford Fairlane"") , Billy Idol","Cradle Of Love (From ""Ford Fairlane"") , Billy Idol","The Power , Snap!","Come Back To Me , Janet Jackson","Come Back To Me , Janet Jackson","Come Back To Me , Janet Jackson","Blaze Of Glory (From ""Young Guns II"") , Jon Bon Jovi","Release Me , Wilson Phillips","Release Me , Wilson Phillips","Blaze Of Glory (From ""Young Guns II"") , Jon Bon Jovi","Blaze Of Glory (From ""Young Guns II"") , Jon Bon Jovi","Close To You , Maxi Priest","Close To You , Maxi Priest","Praying For Time , George Michael","Close To You , Maxi Priest","Close To You , Maxi Priest","Black Cat , Janet Jackson","I Don't Have The Heart , James Ingram","Black Cat , Janet Jackson","Black Cat , Janet Jackson","Pray , M.C. Hammer","Pray , M.C. Hammer","Pray , M.C. Hammer","More Than Words Can Say , Alias","Love Takes Time , Mariah Carey","I'm Your Baby Tonight , Whitney Houston","I'm Your Baby Tonight , Whitney Houston","From A Distance , Bette Midler","Justify My Love , Madonna","Justify My Love , Madonna","Justify My Love , Madonna"
2,"Don't Know Much , Linda Ronstadt (Featuring Aaron Neville)","Don't Know Much , Linda Ronstadt (Featuring Aaron Neville)","Pump Up The Jam , Technotronic Featuring Felly","Another Day In Paradise , Phil Collins","Downtown Train , Rod Stewart","Downtown Train , Rod Stewart","Downtown Train , Rod Stewart","Downtown Train , Rod Stewart","Downtown Train , Rod Stewart","Escapade , Janet Jackson","Dangerous , Roxette","Opposites Attract , Paula Abdul (Duet With The Wild Pair)","Opposites Attract , Paula Abdul (Duet With The Wild Pair)","Roam , The B-52s","Roam , The B-52s","Roam , The B-52s","Escapade , Janet Jackson","I Wish It Would Rain Down , Phil Collins","All Around The World , Lisa Stansfield","All Around The World , Lisa Stansfield","All Around The World , Lisa Stansfield","All Around The World , Lisa Stansfield","All Around The World , Lisa Stansfield","I Wanna Be Rich , Calloway","How Can We Be Lovers , Michael Bolton","I Wanna Be Rich , Calloway","I Wanna Be Rich , Calloway","All I Wanna Do Is Make Love To You , Heart","Nothing Compares 2 U , Sinead O'Connor","Nothing Compares 2 U , Sinead O'Connor","Hold On , Wilson Phillips","Poison , Bell Biv DeVoe","Poison , Bell Biv DeVoe","Poison , Bell Biv DeVoe","Poison , Bell Biv DeVoe","Poison , Bell Biv DeVoe","Poison , Bell Biv DeVoe","She Ain't Worth It , Glenn Medeiros Featuring Bobby Brown","Hold On , En Vogue","Cradle Of Love (From ""Ford Fairlane"") , Billy Idol","Cradle Of Love (From ""Ford Fairlane"") , Billy Idol","Cradle Of Love (From ""Ford Fairlane"") , Billy Idol","Rub You The Right Way , Johnny Gill","Rub You The Right Way , Johnny Gill","Rub You The Right Way , Johnny Gill","If Wishes Came True , Sweet Sensation","If Wishes Came True , Sweet Sensation","If Wishes Came True , Sweet Sensation","Unskinny Bop , Poison","Do Me! , Bell Biv DeVoe","Do Me! , Bell Biv DeVoe","Do Me! , Bell Biv DeVoe","Do Me! , Bell Biv DeVoe","Release Me , Wilson Phillips","Release Me , Wilson Phillips","(Can't Live Without Your) Love And Affection , Nelson","I Don't Have The Heart , James Ingram","I Don't Have The Heart , James Ingram","Praying For Time , George Michael","Ice Ice Baby , Vanilla Ice","Love Takes Time , Mariah Carey","Love Takes Time , Mariah Carey","Ice Ice Baby , Vanilla Ice","More Than Words Can Say , Alias","More Than Words Can Say , Alias","I'm Your Baby Tonight , Whitney Houston","Because I Love You (The Postman Song) , Stevie B","From A Distance , Bette Midler","From A Distance , Bette Midler","I'm Your Baby Tonight , Whitney Houston","From A Distance , Bette Midler","From A Distance , Bette Midler","From A Distance , Bette Midler"
3,"Pump Up The Jam , Technotronic Featuring Felly","Pump Up The Jam , Technotronic Featuring Felly","How Am I Supposed To Live Without You , Michael Bolton","Everything , Jody Watley","Everything , Jody Watley","Everything , Jody Watley","Two To Make It Right , Seduction","Janie's Got A Gun , Aerosmith","Janie's Got A Gun , Aerosmith","Dangerous , Roxette","All Or Nothing , Milli Vanilli","Roam , The B-52s","Roam , The B-52s","Black Velvet , Alannah Myles","Love Will Lead You Back , Taylor Dayne","Love Will Lead You Back , Taylor Dayne","Roam , The B-52s","I'll Be Your Everything , Tommy Page","I Wish It Would Rain Down , Phil Collins","I Wish It Would Rain Down , Phil Collins","Nothing Compares 2 U , Sinead O'Connor","I Wanna Be Rich , Calloway","I Wanna Be Rich , Calloway","All Around The World , Lisa Stansfield","Vogue , Madonna","All I Wanna Do Is Make Love To You , Heart","All I Wanna Do Is Make Love To You , Heart","Hold On , Wilson Phillips","Hold On , Wilson Phillips","Hold On , Wilson Phillips","Alright , Janet Jackson","All I Wanna Do Is Make Love To You , Heart","Step By Step , New Kids On The Block","Step By Step , New Kids On The Block","Hold On , Wilson Phillips","Do You Remember? , Phil Collins","Do You Remember? , Phil Collins","Poison , Bell Biv DeVoe","I'll Be Your Shelter , Taylor Dayne","Rub You The Right Way , Johnny Gill","Rub You The Right Way , Johnny Gill","Rub You The Right Way , Johnny Gill","The Power , Snap!","The Power , Snap!","Cradle Of Love (From ""Ford Fairlane"") , Billy Idol","The Power , Snap!","Unskinny Bop , Poison","Unskinny Bop , Poison","Release Me , Wilson Phillips","Unskinny Bop , Poison","Unskinny Bop , Poison","Have You Seen Her , M.C. Hammer","(Can't Live Without Your) Love And Affection , Nelson","Blaze Of Glory (From ""Young Guns II"") , Jon Bon Jovi","Blaze Of Glory (From ""Young Guns II"") , Jon Bon Jovi","Something Happened On The Way To Heaven , Phil Collins","Ice Ice Baby , Vanilla Ice","Ice Ice Baby , Vanilla Ice","Ice Ice Baby , Vanilla Ice","Giving You The Benefit , Pebbles","Giving You The Benefit , Pebbles","Giving You The Benefit , Pebbles","Giving You The Benefit , Pebbles","Groove Is In The Heart , Deee-Lite","Groove Is In The Heart , Deee-Lite","Groove Is In The Heart , Deee-Lite","Groove Is In The Heart , Deee-Lite","Something To Believe In , Poison","Something To Believe In , Poison","Justify My Love , Madonna","Impulsive , Wilson Phillips","Impulsive , Wilson Phillips","Impulsive , Wilson Phillips"
4,"With Every Beat Of My Heart , Taylor Dayne","With Every Beat Of My Heart , Taylor Dayne","Don't Know Much , Linda Ronstadt (Featuring Aaron Neville)","Downtown Train , Rod Stewart","Two To Make It Right , Seduction","Two To Make It Right , Seduction","Janie's Got A Gun , Aerosmith","How Am I Supposed To Live Without You , Michael Bolton","How Am I Supposed To Live Without You , Michael Bolton","Janie's Got A Gun , Aerosmith","What Kind Of Man Would I Be? , Chicago","All Or Nothing , Milli Vanilli","All Or Nothing , Milli Vanilli","Price Of Love , Bad English","Price Of Love , Bad English","Price Of Love , Bad English","I Wish It Would Rain Down , Phil Collins","All Around The World , Lisa Stansfield","Black Velvet , Alannah Myles","Black Velvet , Alannah Myles","Love Will Lead You Back , Taylor Dayne","I'll Be Your Everything , Tommy Page","I'll Be Your Everything , Tommy Page","How Can We Be Lovers , Michael Bolton","All I Wanna Do Is Make Love To You , Heart","How Can We Be Lovers , Michael Bolton","How Can We Be Lovers , Michael Bolton","Sending All My Love , Linear","Alright , Janet Jackson","Alright , Janet Jackson","Poison , Bell Biv DeVoe","It Must Have Been Love (From ""Pretty Woman"") , Roxette","Vogue , Madonna","Vogue , Madonna","Do You Remember? , Phil Collins","Hold On , Wilson Phillips","Hold On , Wilson Phillips","Hold On , En Vogue","Cradle Of Love (From ""Ford Fairlane"") , Billy Idol","Vision Of Love , Mariah Carey","Vision Of Love , Mariah Carey","Hold On , En Vogue","She Ain't Worth It , Glenn Medeiros Featuring Bobby Brown","She Ain't Worth It , Glenn Medeiros Featuring Bobby Brown","If Wishes Came True , Sweet Sensation","Unskinny Bop , Poison","Blaze Of Glory (From ""Young Guns II"") , Jon Bon Jovi","Blaze Of Glory (From ""Young Guns II"") , Jon Bon Jovi","Do Me! , Bell Biv DeVoe","If Wishes Came True , Sweet Sensation","If Wishes Came True , Sweet Sensation","Unskinny Bop , Poison","Close To You , Maxi Priest","Praying For Time , George Michael","Praying For Time , George Michael","I Don't Have The Heart , James Ingram","Black Cat , Janet Jackson","Black Cat , Janet Jackson","Close To You , Maxi Priest","Love Takes Time , Mariah Carey","I Don't Have The Heart , James Ingram","I Don't Have The Heart , James Ingram","I Don't Have The Heart , James Ingram","I'm Your Baby Tonight , Whitney Houston","I'm Your Baby Tonight , Whitney Houston","Because I Love You (The Postman Song) , Stevie B","From A Distance , Bette Midler","Love Takes Time , Mariah Carey","Love Takes Time , Mariah Carey","Impulsive , Wilson Phillips","Tom's Diner , DNA Featuring Suzanne Vega","Tom's Diner , DNA Featuring Suzanne Vega","Tom's Diner , DNA Featuring Suzanne Vega"
5,"How Am I Supposed To Live Without You , Michael Bolton","How Am I Supposed To Live Without You , Michael Bolton","Everything , Jody Watley","Rhythm Nation , Janet Jackson","Just Between You And Me , Lou Gramm","Just Between You And Me , Lou Gramm","I Remember You , Skid Row","What Kind Of Man Would I Be? , Chicago","What Kind Of Man Would I Be? , Chicago","What Kind Of Man Would I Be? , Chicago","Roam , The B-52s","Here We Are , Gloria Estefan","Here We Are , Gloria Estefan","Opposites Attract , Paula Abdul (Duet With The Wild Pair)","I Go To Extremes , Billy Joel","I Go To Extremes , Billy Joel","I'll Be Your Everything , Tommy Page","Don't Wanna Fall In Love , Jane Child","Don't Wanna Fall In Love , Jane Child","Don't Wanna Fall In Love , Jane Child","I Wanna Be Rich , Calloway","Here And Now , Luther Vandross","Here And Now , Luther Vandross","Whip Appeal , Babyface","Don't Wanna Fall In Love , Jane Child","Hold On , Wilson Phillips","Hold On , Wilson Phillips","Alright , Janet Jackson","Poison , Bell Biv DeVoe","Poison , Bell Biv DeVoe","It Must Have Been Love (From ""Pretty Woman"") , Roxette","Alright , Janet Jackson","All I Wanna Do Is Make Love To You , Heart","All I Wanna Do Is Make Love To You , Heart","Vogue , Madonna","Hold On , En Vogue","Hold On , En Vogue","Do You Remember? , Phil Collins","It Must Have Been Love (From ""Pretty Woman"") , Roxette","Step By Step , New Kids On The Block","Step By Step , New Kids On The Block","The Power , Snap!","Girls Nite Out , Tyler Collins","Girls Nite Out , Tyler Collins","Come Back To Me , Janet Jackson","Blaze Of Glory (From ""Young Guns II"") , Jon Bon Jovi","Release Me , Wilson Phillips","Release Me , Wilson Phillips","Come Back To Me , Janet Jackson","Have You Seen Her , M.C. Hammer","Have You Seen Her , M.C. Hammer","(Can't Live Without Your) Love And Affection , Nelson","Thieves In The Temple , Prince","Something Happened On The Way To Heaven , Phil Collins","Something Happened On The Way To Heaven , Phil Collins","Blaze Of Glory (From ""Young Guns II"") , Jon Bon Jovi","(Can't Live Without Your) Love And Affection , Nelson","(Can't Live Without Your) Love And Affection , Nelson","Romeo , Dino","Can't Stop , After 7","Pray , M.C. Hammer","Pray , M.C. Hammer","More Than Words Can Say , Alias","Ice Ice Baby , Vanilla Ice","Ice Ice Baby , Vanilla Ice","Something To Believe In , Poison","Something To Believe In , Poison","Groove Is In The Heart , Deee-Lite","Groove Is In The Heart , Deee-Lite","The Way You Do The Things You Do , UB40","High Enough , Damn Yankees","High Enough , Damn Yankees","High Enough , Damn Yankees"
6,"This One's For The Children , New Kids On The Block","This One's For The Children , New Kids On The Block","This One's For The Children , New Kids On The Block","Just Between You And Me , Lou Gramm","Free Fallin' , Tom Petty","Free Fallin' , Tom Petty","Free Fallin' , Tom Petty","Dangerous , Roxette","Dangerous , Roxette","All Or Nothing , Milli Vanilli","Two To Make It Right , Seduction","Price Of Love , Bad English","Price Of Love , Bad English","No More Lies , Michel'le","No More Lies , Michel'le","No More Lies , Michel'le","All Around The World , Lisa Stansfield","Escapade , Janet Jackson","Get Up! (Before The Night Is Over) , Technotronic","Get Up! (Before The Night Is Over) , Technotronic","Here And Now , Luther Vandross","How Can We Be Lovers , Michael Bolton","How Can We Be Lovers , Michael Bolton","Here And Now , Luther Vandross","Whip Appeal , Babyface","Sending All My Love , Linear","Sending All My Love , Linear","I Wanna Be Rich , Calloway","Sending All My Love , Linear","Sending All My Love , Linear","Nothing Compares 2 U , Sinead O'Connor","Sending All My Love , Linear","Alright , Janet Jackson","Alright , Janet Jackson","Ready Or Not , After 7","Ready Or Not , After 7","Ready Or Not , After 7","I'll Be Your Shelter , Taylor Dayne","Rub You The Right Way , Johnny Gill","The Power , Snap!","The Power , Snap!","Girls Nite Out , Tyler Collins","When I'm Back On My Feet Again , Michael Bolton","When I'm Back On My Feet Again , Michael Bolton","Unskinny Bop , Poison","Do Me! , Bell Biv DeVoe","Do Me! , Bell Biv DeVoe","Do Me! , Bell Biv DeVoe","Have You Seen Her , M.C. Hammer","Tonight , New Kids On The Block","Tonight , New Kids On The Block","Thieves In The Temple , Prince","Something Happened On The Way To Heaven , Phil Collins","Do Me! , Bell Biv DeVoe","Do Me! , Bell Biv DeVoe","Ice Ice Baby , Vanilla Ice","Romeo , Dino","Romeo , Dino","Giving You The Benefit , Pebbles","Close To You , Maxi Priest","Can't Stop , After 7","Can't Stop , After 7","Black Cat , Janet Jackson","Something To Believe In , Poison","Something To Believe In , Poison","From A Distance , Bette Midler","More Than Words Can Say , Alias","Impulsive , Wilson Phillips","Impulsive , Wilson Phillips","Tom's Diner , DNA Featuring Suzanne Vega","I'm Your Baby Tonight , Whitney Houston","I'm Your Baby Tonight , Whitney Houston","I'm Your Baby Tonight , Whitney Houston"
7,"Just Like Jesse James , Cher","Just Like Jesse James , Cher","Just Like Jesse James , Cher","Free Fallin' , Tom Petty","Opposites Attract , Paula Abdul (Duet With The Wild Pair)","Opposites Attract , Paula Abdul (Duet With The Wild Pair)","Pump Up The Jam , Technotronic Featuring Felly","I Remember You , Skid Row","I Remember You , Skid Row","Downtown Train , Rod Stewart","Here We Are , Gloria Estefan","We Can't Go Wrong , The Cover Girls","We Can't Go Wrong , The Cover Girls","Here We Are , Gloria Estefan","I Wish It Would Rain Down , Phil Collins","I Wish It Would Rain Down , Phil Collins","I Go To Extremes , Billy Joel","Keep It Together , Madonna","Here And Now , Luther Vandross","Here And Now , Luther Vandross","Get Up! (Before The Night Is Over) , Technotronic","Forever , KISS","Forever , KISS","Without You , Motley Crue","All Around The World , Lisa Stansfield","Alright , Janet Jackson","Alright , Janet Jackson","Poison , Bell Biv DeVoe","It Must Have Been Love (From ""Pretty Woman"") , Roxette","It Must Have Been Love (From ""Pretty Woman"") , Roxette","Sending All My Love , Linear","Step By Step , New Kids On The Block","U Can't Touch This , M.C. Hammer","U Can't Touch This , M.C. Hammer","Hold On , En Vogue","I'll Be Your Shelter , Taylor Dayne","I'll Be Your Shelter , Taylor Dayne","Cradle Of Love (From ""Ford Fairlane"") , Billy Idol","Enjoy The Silence , Depeche Mode","Girls Nite Out , Tyler Collins","Girls Nite Out , Tyler Collins","When I'm Back On My Feet Again , Michael Bolton","If Wishes Came True , Sweet Sensation","If Wishes Came True , Sweet Sensation","King Of Wishful Thinking (From ""Pretty Woman"") , Go West","Have You Seen Her , M.C. Hammer","Have You Seen Her , M.C. Hammer","Have You Seen Her , M.C. Hammer","Vision Of Love , Mariah Carey","(Can't Live Without Your) Love And Affection , Nelson","(Can't Live Without Your) Love And Affection , Nelson","If Wishes Came True , Sweet Sensation","Praying For Time , George Michael","Thieves In The Temple , Prince","Thieves In The Temple , Prince","Oh Girl , Paul Young","Something Happened On The Way To Heaven , Phil Collins","Something Happened On The Way To Heaven , Phil Collins","Everybody Everybody , Black Box","Praying For Time , George Michael","More Than Words Can Say , Alias","More Than Words Can Say , Alias","Groove Is In The Heart , Deee-Lite","Because I Love You (The Postman Song) , Stevie B","Because I Love You (The Postman Song) , Stevie B","Pray , M.C. Hammer","The Way You Do The Things You Do , UB40","The Way You Do The Things You Do , UB40","The Way You Do The Things You Do , UB40","Something To Believe In , Poison","Freedom , George Michael","Freedom , George Michael","Freedom , George Michael"
8,"We Didn't Start The Fire , Billy Joel","We Didn't Start The Fire , Billy Joel","With Every Beat Of My Heart , Taylor Dayne","Two To Make It Right , Seduction","I Remember You , Skid Row","I Remember You , Skid Row","Just Between You And Me , Lou Gramm","Escapade , Janet Jackson","Escapade , Janet Jackson","Tell Me Why , Expose","We Can't Go Wrong , The Cover Girls","Black Velvet , Alannah Myles","Black Velvet , Alannah Myles","I Go To Extremes , Billy Joel","Just A Friend , Biz Markie","Just A Friend , Biz Markie","Keep It Together , Madonna","Get Up! (Before The Night Is Over) , Technotronic","Nothing Compares 2 U , Sinead O'Connor","Nothing Compares 2 U , Sinead O'Connor","Forever , KISS","Without You , Motley Crue","Without You , Motley Crue","Whole Wide World (From ""True Love"") , A'me Lorain","What It Takes , Aerosmith","What It Takes , Aerosmith","What It Takes , Aerosmith","It Must Have Been Love (From ""Pretty Woman"") , Roxette","U Can't Touch This , M.C. Hammer","U Can't Touch This , M.C. Hammer","U Can't Touch This , M.C. Hammer","U Can't Touch This , M.C. Hammer","Ready Or Not , After 7","Ready Or Not , After 7","U Can't Touch This , M.C. Hammer","She Ain't Worth It , Glenn Medeiros Featuring Bobby Brown","She Ain't Worth It , Glenn Medeiros Featuring Bobby Brown","Hold On , Wilson Phillips","The Power , Snap!","Enjoy The Silence , Depeche Mode","Enjoy The Silence , Depeche Mode","Enjoy The Silence , Depeche Mode","Hold On , En Vogue","Hold On , En Vogue","She Ain't Worth It , Glenn Medeiros Featuring Bobby Brown","Cradle Of Love (From ""Ford Fairlane"") , Billy Idol","Jerk Out , The Time","Jerk Out , The Time","Jerk Out , The Time","Epic , Faith No More","Epic , Faith No More","Tonight , New Kids On The Block","Have You Seen Her , M.C. Hammer","Oh Girl , Paul Young","Oh Girl , Paul Young","Do Me! , Bell Biv DeVoe","Everybody Everybody , Black Box","Everybody Everybody , Black Box","Can't Stop , After 7","Suicide Blonde , INXS","Suicide Blonde , INXS","Suicide Blonde , INXS","Knockin' Boots , Candyman","I Don't Have The Heart , James Ingram","I Don't Have The Heart , James Ingram","Feels Good , Tony Toni Tone","Impulsive , Wilson Phillips","Tom's Diner , DNA Featuring Suzanne Vega","Tom's Diner , DNA Featuring Suzanne Vega","Freedom , George Michael","The Way You Do The Things You Do , UB40","The Way You Do The Things You Do , UB40","The Way You Do The Things You Do , UB40"
9,"Everything , Jody Watley","Everything , Jody Watley","Just Between You And Me , Lou Gramm","Love Song , Tesla","Another Day In Paradise , Phil Collins","Another Day In Paradise , Phil Collins","Everything , Jody Watley","All Or Nothing , Milli Vanilli","All Or Nothing , Milli Vanilli","We Can't Go Wrong , The Cover Girls","Price Of Love , Bad English","No More Lies , Michel'le","No More Lies , Michel'le","Love Will Lead You Back , Taylor Dayne","C'mon And Get My Love , D-Mob Introducing Cathy Dennis","C'mon And Get My Love , D-Mob Introducing Cathy Dennis","Get Up! (Before The Night Is Over) , Technotronic","Here And Now , Luther Vandross","Forever , KISS","Forever , KISS","Black Velvet , Alannah Myles","Whole Wide World (From ""True Love"") , A'me Lorain","Whole Wide World (From ""True Love"") , A'me Lorain","All I Wanna Do Is Make Love To You , Heart","Alright , Janet Jackson","Poison , Bell Biv DeVoe","Poison , Bell Biv DeVoe","What It Takes , Aerosmith","This Old Heart Of Mine , Rod Stewart With Ronald Isley","This Old Heart Of Mine , Rod Stewart With Ronald Isley","Ooh La La (I Can't Get Over You) , Perfect Gentlemen","Nothing Compares 2 U , Sinead O'Connor","Do You Remember? , Phil Collins","Do You Remember? , Phil Collins","I'll Be Your Shelter , Taylor Dayne","Cradle Of Love (From ""Ford Fairlane"") , Billy Idol","Cradle Of Love (From ""Ford Fairlane"") , Billy Idol","Rub You The Right Way , Johnny Gill","Poison , Bell Biv DeVoe","When I'm Back On My Feet Again , Michael Bolton","When I'm Back On My Feet Again , Michael Bolton","Hanky Panky , Madonna","Unskinny Bop , Poison","Unskinny Bop , Poison","Do Me! , Bell Biv DeVoe","King Of Wishful Thinking (From ""Pretty Woman"") , Go West","Epic , Faith No More","Epic , Faith No More","Tonight , New Kids On The Block","Come Back To Me , Janet Jackson","Come Back To Me , Janet Jackson","Close To You , Maxi Priest","Unskinny Bop , Poison","My, My, My , Johnny Gill","My, My, My , Johnny Gill","Release Me , Wilson Phillips","Oh Girl , Paul Young","Oh Girl , Paul Young","(Can't Live Without Your) Love And Affection , Nelson","Everybody Everybody , Black Box","Cherry Pie , Warrant","Cherry Pie , Warrant","Something To Believe In , Poison","From A Distance , Bette Midler","From A Distance , Bette Midler","Knockin' Boots , Candyman","Feels Good , Tony Toni Tone","Justify My Love , Madonna","Justify My Love , Madonna","High Enough , Damn Yankees","Sensitivity , Ralph Tresvant","Sensitivity , Ralph Tresvant","Sensitivity , Ralph Tresvant"
