,0
0,6tS3XVuOyu10897O3ae7bi
1,7KXjTSCq5nL1LoYtL7XAwS
2,15JINEqzVMv3SvJTAXAKED
3,0OAAAdiHJKa2wlCKqaYXV7
4,48RrDBpOSSl1aLVCalGl5C
5,72jCZdH0Lhg93z6Z4hBjgj
6,6jAsmDJI8iPhGWtS27kZ67
7,0IkKz2J93C94Ei4BvDop7P
8,1LmN9SSHISbtp9LoaR5ZVJ
9,0v9Wz8o0BT8DU38R4ddjeH
10,45XhKYRRkyeqoW3teSOkCM
11,50kpGaPAhYJ3sGmk6vplg0
12,6b8Be6ljOzmkOmFslEb23P
13,1dNIEtp7AY3oDAKCGg2XkH
14,0iYebKFUSfF72fUu2OW6ZT
15,3VlbOrM6nYPprVvzBZllE5
16,2Zj4FUsMtu9PMuJsHbGbdv
17,0puf9yIluy9W0vpMEUoAnN
18,2y5aJvzXhHPA94U5GFAcXe
19,4MKzCHlZvkwJOQRNkdw4zq
20,15vzANxN8G9wWfwAJLLMCg
21,5v8PGL6YlOmVeT51aH7skE
22,7LcfRTgAVTs5pQGEQgUEzN
23,55qBw1900pZKfXJ6Q9A2Lc
24,4Q3N4Ct4zCuIHuZ65E3BD4
25,10Igtw8bSDyyFs7KIsKngZ
26,5hTpBe8h35rJ67eAWHQsJx
27,59RSrxkSKSixEWBAIvE5Wa
28,4wTMBYRE6xVTIUQ6fEudsJ
29,0azC730Exh71aQlOt9Zj3y
30,7l94dyN2hX9c6wWcZQuOGJ
31,343YBumqHu19cGoGARUTsd
32,5vuMtXS5kQ7F0o9V9rG1dG
33,5HQVUIKwCEXpe7JIHyY734
34,03UrZgTINDqvnUMbbIMhql
35,6E9V9TRlVOLjenGjHemzEH
36,7EKTo6rVJ3XSS7QTd6ep2j
37,5SxkdsY1ufZzoq9iXceLw9
38,3Du2K5dLzmduCNp6uwuaL0
39,2y4lAQpi5VTNLu2ldeTdUH
40,6lV2MSQmRIkycDScNtrBXO
41,3iL2l5gUqyPS6vDwJFgJTR
42,6jG2YzhxptolDzLHTGLt7S
43,3MoIvDgJqKIfta5V5x7Lc6
44,3ZdJffjzJWFimSQyxgGIxN
45,5r6YGzvr9oZGVK6QVbh0HB
46,7vWFaMq63AwkFDhS2OAg5u
47,4tCtwWceOPWzenK2HAIJSb
48,6mnjcTmK8TewHfyOp3fC9C
49,2woCC5hiuPTDAonxhEojP0
50,1WtTLtofvcjQM3sXSMkDdX
51,4gbVRS8gloEluzf0GzDOFc
52,0ileL1L3Vtpf5VZ5RQZ94m
53,1a0e6ChMoWQRZPsfw0AZTk
54,7yws3pF3FFguwT2Psi6c15
