,0,1
0,2,California Gurls
1,2,Humble.
2,2,Love The Way You Lie
3,2,Rockstar
4,3,I Knew You Were Trouble.
5,3,Only Girl (In The World)
6,3,Payphone
7,3,Problem
8,3,The Monster
9,4,Love Yourself
10,4,Wild Thoughts
11,5,24K Magic
12,5,I Need A Doctor
13,5,Too Good At Goodbyes
14,6,Bang Bang
15,6,I Don't Wanna Live Forever (Fifty Shades Darker)
16,6,Sexy Chick
17,7,Paris
18,8,Holy Grail
19,8,Moves Like Jagger
20,8,Teenage Dream
21,9,Freaky Friday
22,9,Good For You
23,9,On The Floor
24,9,Starships
25,9,Take Care
26,9,This Is What You Came For
27,10,Dangerous Woman
28,10,Fake Love
29,10,Started From The Bottom
30,10,The Way
31,10,"Young, Wild & Free"
32,11,Hard
33,11,Look At Me Now
34,11,No
35,11,We Can't Stop
36,12,Airplanes
37,12,BedRock
38,12,Drunk In Love
39,12,Gentleman
40,12,It Ain't Me
41,12,Just A Dream
42,12,Let Me Love You
43,12,Scream & Shout
44,12,The Time (Dirty Bit)
45,12,Wildest Dreams
46,12,Work From Home
47,13,Blank Space
48,13,Die Young
49,13,How Low
50,13,What The Hell
51,14,Do You Remember
52,14,Get Lucky
53,14,Heathens
54,14,Maps
55,14,MotorSport
56,15,Break Free
57,16,Be Careful
58,16,Diamonds
59,16,Lighters
60,16,Love Me
61,16,Paradise
62,16,That's My Kind Of Night
63,17,Dark Horse
64,17,Nasty Freestyle
65,17,Sad!
66,17,Survival
67,18,Don't Wanna Go Home
68,18,For Free
69,18,Good Time
70,18,Love.
71,18,Mr. Know It All
72,18,The Motto
73,18,Tonight (I'm Lovin' You)
74,18,Walk It Talk It
75,19,Anaconda
76,19,DJ Got Us Fallin' In Love
77,20,H.O.L.Y.
78,20,Love Never Felt So Good
79,20,One Time
80,20,Stuck Like Glue
81,20,The Hills
82,20,Till The World Ends
83,21,As Long As You Love Me
84,21,Empire State Of Mind
85,21,Him & I
86,21,"Hold On, We're Going Home"
87,21,Jumpman
88,21,One Dance
89,22,Centuries
90,22,My Hitta
91,22,On My Mind
92,22,When We Were Young
93,23,B**** Better Have My Money
94,23,Cold
95,23,I Will Wait
96,23,Rude Boy
97,23,Tennessee Whiskey
98,23,The Middle
99,23,Two Is Better Than One
100,24,#Beautiful
101,24,A Sky Full Of Stars
102,24,Can't Feel My Face
103,24,Mirrors
104,24,The Greatest
105,24,The Man
106,24,Who Says
107,24,Wiggle
108,25,Praying
109,25,The Fox
110,25,The Heart Wants What It Wants
111,25,This Town
112,25,Unconditionally
113,26,Dynamite
114,26,My Songs Know What You Did In The Dark (Light Em Up)
115,26,Your Love
116,27,Dance Again
117,27,Tunnel Vision
118,27,Your Love Is My Drug
119,28,Can't Remember To Forget You
120,28,It Will Rain
121,28,What Makes You Beautiful
122,29,All I Want For Christmas Is You
123,29,Every Teardrop Is A Waterfall
124,29,My Boo
125,30,Eenie Meenie
126,30,Telephone
127,31,Blame
128,31,Call Me Maybe
129,31,Carry Out
130,31,Side To Side
131,31,Tie Me Down
132,32,All Eyes On You
133,32,Counting Stars
134,32,"Hey, Soul Sister"
135,32,Sucker For Pain
136,33,Bank Account
137,33,Live Like We're Dying
138,33,Never Say Never
139,33,Ridin' Solo
140,33,Run The World (Girls)
141,33,Yeah 3X
142,34,679
143,34,Controlla
144,34,Find Your Love
145,34,Firework
146,34,Hello Good Morning
147,34,I Get The Bag
148,34,Locked Out Of Heaven
149,34,Slide
150,34,Treat You Better
151,35,Body Party
152,35,Finesse
153,35,Jingle Bell Rock
154,35,The Catalyst
155,35,Wide Awake
156,36,Believe Me
157,36,Cool For The Summer
158,36,Love Me Like You Do
159,36,Treasure
160,36,You And I
161,37,Backseat
162,37,Girl On Fire
163,37,Heartbeat Song
164,37,Turn Me On
165,38,Body Like A Back Road
166,38,Turn Down For What
167,39,It Girl
168,39,Me Too
169,39,Naturally
170,39,Party Monster
171,39,Somethin' Bad
172,39,The Way Life Goes
173,40,Ayo
174,40,Just The Way You Are
175,40,Starboy
176,41,According To You
177,41,Confident
178,41,Hit The Quan
179,41,Little Things
180,41,Young Forever
181,42,#thatPOWER
182,42,Adore You
183,42,E.T.
184,42,Just Like Fire
185,42,One More Night
186,42,Pills N Potions
187,42,Silence
188,42,Strip That Down
189,43,All The Stars
190,43,Believer
191,43,Feeling Myself
192,43,I Want Crazy
193,43,Lil Freak
194,43,Only
195,43,Same Old Love
196,43,Waka Waka (This Time For Africa)
197,44,22
198,44,Hey Baby (Drop It To The Floor)
199,44,Sure Be Cool If You Did
200,44,There's Nothing Holdin' Me Back
201,45,Come & Get It
202,45,No Hands
203,45,No Lie
204,45,One Way Or Another (Teenage Kicks)
205,45,The Christmas Song (Merry Christmas To You)
206,45,Want To Want Me
207,46,A Holly Jolly Christmas
208,46,Gas Pedal
209,46,Letting Go (Dutty Love)
210,46,My Chick Bad
211,46,Tiimmy Turner
212,46,Time Of Our Lives
213,47,Changes
214,47,Otis
215,47,Take Back The Night
216,47,The Truth
217,47,We Owned The Night
218,48,Hallelujah
219,48,Homegrown
220,48,I Feel It Coming
221,48,I Really Like You
222,48,It's The Most Wonderful Time Of The Year
223,48,Roll Up
224,48,Slippery
225,48,Super Bass
226,48,When We Stand Together
227,49,Earned It (Fifty Shades Of Grey)
228,49,Energy
229,49,It Kills Me
230,49,Mask Off
231,49,Timber
232,49,XO TOUR Llif3
233,50,2012 (It Ain't The End)
234,50,Cheers (Drink To That)
235,50,Dancin' Away With My Heart
236,50,I'm Out
237,50,Imma Be
238,50,Now Or Never
239,50,Ric Flair Drip
240,50,Wrecking Ball
241,51,Feels
242,51,I Like It Like That
243,51,I'll Show You
244,51,Into You
245,51,Outside Today
246,51,Pontoon
247,51,Raise Your Glass
248,52,Fine China
249,52,Heavy
250,52,Here's To Never Growing Up
251,52,Low Life
252,52,Misery
253,52,Too Good
254,53,All The Right Moves
255,53,Better Dig Two
256,53,Break Your Heart
257,53,Burn
258,53,Craving You
259,53,I Bet My Life
260,53,Japan
261,53,Mi Gente
262,53,Play It Again
263,53,Roll In Peace
264,53,S&M
265,53,Tonight Looks Good On You
266,53,We Are Young
267,54,All About That Bass
268,54,Bad And Boujee
269,54,Better Man
270,54,Came Here To Forget
271,54,Catch My Breath
272,54,FourFiveSeconds
273,54,I'm Awesome
274,54,Love Somebody
275,54,My Kinda Party
276,54,TKO
277,55,#SELFIE
278,55,Adventure Of A Lifetime
279,55,Birthday Cake
280,55,Boys 'round Here
