,0,1
0,TiK ToK,1
1,Empire State Of Mind,1
2,Bad Romance,2
3,Replay,4
4,Fireflies,1
5,Sexy Chick,6
6,Whatcha Say,1
7,Down,1
8,Meet Me Halfway,7
9,3,1
10,Hard,11
11,BedRock,12
12,How Low,13
13,Do You Remember,14
14,Paparazzi,6
15,Forever,8
16,Sweet Dreams,10
17,Already Gone,13
18,Party In The U.S.A.,2
19,I Gotta Feeling,1
20,Need You Now,5
21,You Belong With Me,2
22,Two Is Better Than One,23
23,I Can Transform Ya,20
24,Use Somebody,4
25,Money To Blow,26
26,Try Sleeping With A Broken Heart,27
27,Evacuate The Dancefloor,25
28,Hell Breaks Loose,29
29,Fifteen,23
30,Tie Me Down,31
31,"Hey, Soul Sister",32
32,Live Like We're Dying,33
33,Say Aah,34
34,Gangsta Luv,35
35,Baby By Me,28
36,Run This Town,2
37,Telephone,30
38,Cowboy Casanova,11
39,Give It Up To Me,29
40,According To You,41
41,I Invented Sex,42
42,Do I,34
43,Fallin' For You,12
44,Consider Me Gone,38
45,If You Only Knew,42
46,One Time,20
47,The Truth,47
48,It Kills Me,49
49,Southern Voice,49
50,Spotlight,42
51,White Liar,38
52,Russian Roulette,9
53,Smile,47
54,Empire State Of Mind (Part II) Broken Down,55
55,Uprising,37
56,I Wanna Make You Close Your Eyes,52
57,Life After You,58
58,Carry Out,31
59,One Less Lonely Girl,16
60,Papers,31
61,Never Gonna Be Alone,61
62,Red Light,54
63,Why Don't We Just Dance,64
64,I Am,65
65,History In The Making,64
66,Elevator,67
67,Crawl,60
68,Shut It Down,69
69,In My Head,63
70,Haven't Met You Yet,57
71,Whataya Want From Me,72
72,Eight Second Ride,70
73,Someday,72
74,I Wanna Rock,75
75,Bonfire,57
76,Wasted,36
77,All The Right Moves,53
78,Sex Therapy,79
79,Body Language,35
80,I Will Not Bow,40
81,Break,82
82,Bad Habits,71
83,On Fire,62
84,Heartbreak Warfare,85
85,American Saturday Night,86
86,That's How Country Boys Roll,85
87,Cryin' For Me (Wayman's Song),88
88,Breakeven,89
89,1901,87
90,Halfway Gone,91
91,Gettin' You Home,33
92,Imma Be,50
93,Hey Daddy (Daddy's Home),94
94,(If You're Wondering If I Want You To) I Want You To,81
95,Kings And Queens,82
96,I'm Going In,40
97,I Get It In,83
98,Drop It Low,38
99,Video Phone,65
100,TiK ToK,1
101,Bad Romance,2
102,Replay,2
103,Empire State Of Mind,1
104,Fireflies,1
105,Sexy Chick,6
106,Down,1
107,Whatcha Say,1
108,I Gotta Feeling,1
109,Party In The U.S.A.,2
110,Do You Remember,10
111,BedRock,12
112,Meet Me Halfway,7
113,Paparazzi,6
114,Hard,11
115,3,1
116,You Belong With Me,2
117,Drop The World,18
118,Forever,8
119,Need You Now,5
120,How Low,13
121,Sweet Dreams,10
122,Two Is Better Than One,20
123,One Time,17
124,Use Somebody,4
125,Already Gone,13
126,Evacuate The Dancefloor,25
127,Fifteen,23
128,"Hey, Soul Sister",29
129,Live Like We're Dying,30
130,I Can Transform Ya,20
131,Tie Me Down,26
132,According To You,33
133,Run This Town,2
134,Cowboy Casanova,11
135,Money To Blow,26
136,Telephone,30
137,Fallin' For You,12
138,One Less Lonely Girl,16
139,Say Aah,34
140,Gangsta Luv,35
