,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
'Til Summer Comes Around,0.593,https://api.spotify.com/v1/audio-analysis/1CKmI1IQjVEVB3F7VmJmM3,0.57,331467,0.629,1CKmI1IQjVEVB3F7VmJmM3,0.000136,9,0.77,-7.608,0,0.0331,127.907,4,https://api.spotify.com/v1/tracks/1CKmI1IQjVEVB3F7VmJmM3,audio_features,spotify:track:1CKmI1IQjVEVB3F7VmJmM3,0.308
(Kissed You) Good Night,0.0807,https://api.spotify.com/v1/audio-analysis/3d1Hbu6v1uJ2rTClxKYYRl,0.523,232903,0.747,3d1Hbu6v1uJ2rTClxKYYRl,0,11,0.11,-6.125,1,0.0292,118.97,4,https://api.spotify.com/v1/tracks/3d1Hbu6v1uJ2rTClxKYYRl,audio_features,spotify:track:3d1Hbu6v1uJ2rTClxKYYRl,0.294
***Flawless,0.241,https://api.spotify.com/v1/audio-analysis/0zVMzJ37VQNFUNvdxxat2E,0.639,234413,0.659,0zVMzJ37VQNFUNvdxxat2E,8.33e-06,8,0.484,-7.273,1,0.215,136.801,4,https://api.spotify.com/v1/tracks/0zVMzJ37VQNFUNvdxxat2E,audio_features,spotify:track:0zVMzJ37VQNFUNvdxxat2E,0.457
1 Night,0.366,https://api.spotify.com/v1/audio-analysis/40yJGQyEaBbIkXpwMFkXip,0.762,243270,0.476,40yJGQyEaBbIkXpwMFkXip,0,0,0.103,-12.686,1,0.114,130.007,4,https://api.spotify.com/v1/tracks/40yJGQyEaBbIkXpwMFkXip,audio_features,spotify:track:40yJGQyEaBbIkXpwMFkXip,0.375
10 Bands,0.23,https://api.spotify.com/v1/audio-analysis/12d5QFwzh60IIHlsSnAvps,0.835,177733,0.756,12d5QFwzh60IIHlsSnAvps,0,7,0.0801,-3.789,1,0.382,173.0,4,https://api.spotify.com/v1/tracks/12d5QFwzh60IIHlsSnAvps,audio_features,spotify:track:12d5QFwzh60IIHlsSnAvps,0.87
100,0.763,https://api.spotify.com/v1/audio-analysis/4jtyUzZm9WLc2AdaJ1dso7,0.707,275227,0.709,4jtyUzZm9WLc2AdaJ1dso7,0,11,0.274,-3.979,0,0.34,89.094,4,https://api.spotify.com/v1/tracks/4jtyUzZm9WLc2AdaJ1dso7,audio_features,spotify:track:4jtyUzZm9WLc2AdaJ1dso7,0.501
143,0.0113,https://api.spotify.com/v1/audio-analysis/4DdaOUTsCqz4cLK3z92oso,0.834,206813,0.758,4DdaOUTsCqz4cLK3z92oso,0,11,0.0238,-7.135,1,0.106,98.021,4,https://api.spotify.com/v1/tracks/4DdaOUTsCqz4cLK3z92oso,audio_features,spotify:track:4DdaOUTsCqz4cLK3z92oso,0.759
19 You + Me,0.319,https://api.spotify.com/v1/audio-analysis/7ongSdLv28Z27WeCrzZXwB,0.493,217407,0.67,7ongSdLv28Z27WeCrzZXwB,0,6,0.102,-5.131,1,0.0298,151.989,3,https://api.spotify.com/v1/tracks/7ongSdLv28Z27WeCrzZXwB,audio_features,spotify:track:7ongSdLv28Z27WeCrzZXwB,0.451
1901,0.0564,https://api.spotify.com/v1/audio-analysis/5JtPGzRgrWxkXX9LoROq3d,0.604,193107,0.825,5JtPGzRgrWxkXX9LoROq3d,5.8e-05,0,0.192,-5.373,1,0.0429,144.085,4,https://api.spotify.com/v1/tracks/5JtPGzRgrWxkXX9LoROq3d,audio_features,spotify:track:5JtPGzRgrWxkXX9LoROq3d,0.707
1994,0.183,https://api.spotify.com/v1/audio-analysis/3C6WblKJq7rpsPsIafytEV,0.598,242680,0.777,3C6WblKJq7rpsPsIafytEV,0,11,0.111,-6.676,0,0.0396,159.942,4,https://api.spotify.com/v1/tracks/3C6WblKJq7rpsPsIafytEV,audio_features,spotify:track:3C6WblKJq7rpsPsIafytEV,0.821
2 On,0.0293,https://api.spotify.com/v1/audio-analysis/2xTft6GEZeTyWNpdX94rkf,0.872,307773,0.723,2xTft6GEZeTyWNpdX94rkf,0,1,0.327,-5.968,1,0.247,93.279,4,https://api.spotify.com/v1/tracks/2xTft6GEZeTyWNpdX94rkf,audio_features,spotify:track:2xTft6GEZeTyWNpdX94rkf,0.843
2 Phones,0.157,https://api.spotify.com/v1/audio-analysis/0wdKiSBUT7aZkXUIdJWcwC,0.895,240000,0.681,0wdKiSBUT7aZkXUIdJWcwC,0,7,0.189,-5.267,0,0.358,121.918,4,https://api.spotify.com/v1/tracks/0wdKiSBUT7aZkXUIdJWcwC,audio_features,spotify:track:0wdKiSBUT7aZkXUIdJWcwC,0.554
2 Reasons,0.124,https://api.spotify.com/v1/audio-analysis/32DF61LCyB0t9SamSsEuFX,0.661,166849,0.703,32DF61LCyB0t9SamSsEuFX,0.00346,9,0.0931,-2.204,1,0.0686,145.942,4,https://api.spotify.com/v1/tracks/32DF61LCyB0t9SamSsEuFX,audio_features,spotify:track:32DF61LCyB0t9SamSsEuFX,0.659
24 Hours,0.0148,https://api.spotify.com/v1/audio-analysis/7jaNWATwHI5PUmJsz34TJ6,0.756,255484,0.507,7jaNWATwHI5PUmJsz34TJ6,0,7,0.0803,-8.156,0,0.037,124.006,4,https://api.spotify.com/v1/tracks/7jaNWATwHI5PUmJsz34TJ6,audio_features,spotify:track:7jaNWATwHI5PUmJsz34TJ6,0.09
4 AM,0.122,https://api.spotify.com/v1/audio-analysis/1nX9KhK3Fff27SnrIor2Yb,0.796,255560,0.513,1nX9KhK3Fff27SnrIor2Yb,0,6,0.15,-7.14,0,0.452,75.018,4,https://api.spotify.com/v1/tracks/1nX9KhK3Fff27SnrIor2Yb,audio_features,spotify:track:1nX9KhK3Fff27SnrIor2Yb,0.235
5-1-5-0,0.0246,https://api.spotify.com/v1/audio-analysis/2WKCH4ISejDV9ad7iPp5XU,0.554,182893,0.849,2WKCH4ISejDV9ad7iPp5XU,0.000233,1,0.31,-5.181,0,0.0357,116.992,4,https://api.spotify.com/v1/tracks/2WKCH4ISejDV9ad7iPp5XU,audio_features,spotify:track:2WKCH4ISejDV9ad7iPp5XU,0.683
50 Ways To Say Goodbye,0.000284,https://api.spotify.com/v1/audio-analysis/2NniAhAtkRACaMeYt48xlD,0.591,247947,0.935,2NniAhAtkRACaMeYt48xlD,0.000278,6,0.142,-2.664,1,0.0478,140.043,4,https://api.spotify.com/v1/tracks/2NniAhAtkRACaMeYt48xlD,audio_features,spotify:track:2NniAhAtkRACaMeYt48xlD,0.736
