,0,1
0,Southern Comfort Zone,0
1,Trophies,0
2,Uma Thurman,0
3,Wet Dreamz,0
4,What Lovers Do,0
5,Who's That Chick?,0
6,Wicked,0
7,You Da One,0
8,Bass Down Low,0
9,Beautiful,0
10,Can't Be Friends,0
11,Cop Car,0
12,Country Song,0
13,Crooked Smile,0
14,Everybody Talks,0
15,For The First Time In Forever,0
16,How Many Times,0
17,If We Ever Meet Again,0
18,Kill Em With Kindness,0
19,Midnight City,0
20,Right Thru Me,0
21,True Colors,0
22,Unforgettable,0
23,Wasted Time,0
24,What About Love,0
25,Yellow Flicker Beat,0
26,Antidote,0
27,Anything Could Happen,0
28,Better Than I Used To Be,0
29,Bridge Over Troubled Water,0
30,Cashin' Out,0
31,Chandelier,0
32,Dare (La La La),0
33,Deja Vu,0
34,Drowning,0
35,Fall For Your Type,0
36,Ghost,0
37,Hey Girl,0
38,I Wanna Rock,0
39,I Won't Give Up,0
40,Lost Boy,0
41,Loving You Easy,0
42,Mama's Song,0
43,Most Girls,0
44,New Freezer,0
45,Ni**as in Paris,0
46,One Call Away,0
47,Rain Over Me,0
48,Redbone,0
49,Stoner,0
50,The Other Side,0
51,This Is How We Roll,0
52,Thriller / Heads Will Roll,0
53,Want U Back,0
54,Anything Goes,0
55,"Beamer, Benz, Or Bentley",0
56,Bon Appetit,0
57,First Day Out,0
58,Good Life,0
59,Heartbeat,0
60,Little Red Wagon,0
61,Look Alive,0
62,Man In The Mirror,0
63,Million Reasons,0
64,More,0
65,Play Hard,0
66,Poetic Justice,0
67,Powerglide,0
68,You Make Me Feel...,0
69,Young Girls,0
70,Yours If You Want It,0
71,As She's Walking Away,0
72,Bartender,0
73,Bugatti,0
74,CoCo,0
75,Daylight,0
76,Fun,0
77,Hands To Myself,0
78,Honest,0
79,Irresistible,0
80,Issues,0
81,Location,0
82,Lonely Eyes,0
83,My Dawg,0
84,Neon Light,0
85,No Type,0
86,Replay,0
87,What If,0
88,You Don't Own Me,0
89,All About It,0
90,All In My Head (Flex),0
91,Beez In The Trap,0
92,Bodak Yellow (Money Moves),0
93,Boo'd Up,0
94,Every Storm (Runs Out Of Rain),0
95,Freak The Freak Out,0
96,Gucci Gucci,0
97,Heartless,0
98,Hey Brother,0
99,I Luv This Sh*t,0
100,It Won't Stop,0
101,Jealous,0
102,Party Rock Anthem,0
103,Ready Or Not,0
104,Rich As F**k,0
105,Southern Girl,0
106,Stitches,0
107,Sun Daze,0
108,The Only Way I Know,0
109,Tongue Tied,0
110,Turn On The Lights,0
111,We Don't Talk Anymore,0
112,Who I Am,0
113,Back In Time,0
114,"Bills, Bills, Bills",0
115,Cake By The Ocean,0
116,Church Bells,0
117,Colder Weather,0
118,Dark Side,0
119,Do I Make You Wanna,0
120,Don't Stop,0
121,Drink A Beer,0
122,Drunk Last Night,0
123,Drunk On You,0
124,Every Time I Hear That Song,0
125,Everyday We Lit,0
126,How To Love,0
127,Live A Little,0
128,Marry The Night,0
129,Nobody Love,0
130,Pills And Automobiles,0
131,Rain Is A Good Thing,0
132,Really Really,0
133,Rubbin Off The Paint,0
134,Seein' Red,0
135,Send My Love (To Your New Lover),0
136,Sex Therapy,0
137,Springsteen,0
138,That's What I Like,0
139,Va Va Voom,0
140,Bad Liar,0
141,Bad Things,0
142,Bulletproof,0
143,Donald Trump,0
144,Higher,0
145,Kiss It Better,0
146,Kisses Down Low,0
147,Little Miss,0
148,No Shopping,0
149,One Foot,0
150,One Last Time,0
151,Our Kind Of Love,0
152,Pretty Good At Drinkin' Beer,0
153,Road Less Traveled,0
154,Roger That,0
155,Say Aah,0
156,Smile,0
157,Somebody To Love,0
158,Superheroes,0
159,Waves,0
160,We Were Us,0
161,When It Rains It Pours,0
162,Who You Love,0
163,You Lie,0
164,iSpy,0
165,19 You + Me,0
166,All The Way Up,0
167,Bad At Love,0
168,Bailando,0
169,Booty,0
170,Budapest,0
171,Buy Me A Boat,0
172,Cheap Thrills,0
173,Classic Man,0
174,Cups (Pitch Perfect's When I'm Gone),0
175,Dedication To My Ex (Miss That),0
176,Do The John Wall,0
177,Don't Let Me Down,0
178,Drink On It,0
179,Fast,0
180,Grenade,0
181,Headlights,0
182,I Cry,0
183,It's Goin' Down,0
184,L.A.LOVE (la la),0
185,Love Don't Die,0
186,Love Runs Out,0
187,Mama Said,0
188,No BS,0
189,OMG,0
190,Oui,0
191,Part II (On The Run),0
192,Promises,0
193,Sexy And I Know It,0
194,She's Got A Way With Words,0
195,Something In The Way You Move,0
196,Strip It Down,0
197,Stupid Hoe,0
198,Tattoos On This Town,0
199,We'll Be A Dream,0
200,***Flawless,0
201,A Little Bit Stronger,0
202,Adorn,0
203,All Time Low,0
204,Alright,0
205,American Kids,0
206,Bow Chicka Wow Wow,0
207,Break,0
208,Can't Get Enough,0
209,Celebration,0
210,Come Get It Bae,0
211,Comfortable,0
212,Everything To Me,0
213,For You (Fifty Shades Freed),0
214,Good Feeling,0
215,Hurricane,0
216,I Like It,0
217,I'm In,0
218,In Your Arms,0
219,Infinity,0
220,Love Sosa,0
221,Loyal,0
222,Moment 4 Life,0
223,Numb,0
224,Pick Up The Phone,0
225,Put You In A Song,0
226,Show Me,0
227,The Lazy Song,0
228,Uber Everywhere,0
229,What About Us,0
230,Whatever You Need,0
231,Wild For The Night,0
232,Wop,0
233,Worth It,0
234,Young And Beautiful,0
235,American Country Love Song,0
236,Another Round,0
237,Ass Back Home,0
238,Back Up,0
