,0,1
0,73,Southern Comfort Zone
1,73,Trophies
2,73,Uma Thurman
3,73,Wet Dreamz
4,73,What Lovers Do
5,73,Who's That Chick?
6,73,Wicked
7,73,You Da One
8,74,Bass Down Low
9,74,Beautiful
10,74,Can't Be Friends
11,74,Cop Car
12,74,Country Song
13,74,Crooked Smile
14,74,Everybody Talks
15,74,For The First Time In Forever
16,74,How Many Times
17,74,If We Ever Meet Again
18,74,Kill Em With Kindness
19,74,Midnight City
20,74,Right Thru Me
21,74,True Colors
22,74,Unforgettable
23,74,Wasted Time
24,74,What About Love
25,74,Yellow Flicker Beat
26,75,Antidote
27,75,Anything Could Happen
28,75,Better Than I Used To Be
29,75,Bridge Over Troubled Water
30,75,Cashin' Out
31,75,Chandelier
32,75,Dare (La La La)
33,75,Deja Vu
34,75,Drowning
35,75,Fall For Your Type
36,75,Ghost
37,75,Hey Girl
38,75,I Wanna Rock
39,75,I Won't Give Up
40,75,Lost Boy
41,75,Loving You Easy
42,75,Mama's Song
43,75,Most Girls
44,75,New Freezer
45,75,Ni**as in Paris
46,75,One Call Away
47,75,Rain Over Me
48,75,Redbone
49,75,Stoner
50,75,The Other Side
51,75,This Is How We Roll
52,75,Thriller / Heads Will Roll
53,75,Want U Back
54,76,Anything Goes
55,76,"Beamer, Benz, Or Bentley"
56,76,Bon Appetit
57,76,First Day Out
58,76,Good Life
59,76,Heartbeat
60,76,Little Red Wagon
61,76,Look Alive
62,76,Man In The Mirror
63,76,Million Reasons
64,76,More
65,76,Play Hard
66,76,Poetic Justice
67,76,Powerglide
68,76,You Make Me Feel...
69,76,Young Girls
70,76,Yours If You Want It
71,77,As She's Walking Away
72,77,Bartender
73,77,Bugatti
74,77,CoCo
75,77,Daylight
76,77,Fun
77,77,Hands To Myself
78,77,Honest
79,77,Irresistible
80,77,Issues
81,77,Location
82,77,Lonely Eyes
83,77,My Dawg
84,77,Neon Light
85,77,No Type
86,77,Replay
87,77,What If
88,77,You Don't Own Me
89,78,All About It
90,78,All In My Head (Flex)
