Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",1429810,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Something Just Like This","The Chainsmokers",1176009,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
3,"iSpy (feat. Lil Yachty)",KYLE,1107082,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
4,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,1044173,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
5,"It Ain't Me (with Selena Gomez)",Kygo,1029300,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
6,"Bounce Back","Big Sean",913293,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,912021,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
8,"That's What I Like","Bruno Mars",876444,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
9,Slide,"Calvin Harris",862698,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
10,"Tunnel Vision","Kodak Black",860015,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
11,Congratulations,"Post Malone",858839,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
12,Paris,"The Chainsmokers",826586,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
13,Issues,"Julia Michaels",811771,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
14,"Stay (with Alessia Cara)",Zedd,765424,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
15,"Fake Love",Drake,724375,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
16,T-Shirt,Migos,710190,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
17,"Mask Off",Future,658454,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
18,"I Feel It Coming","The Weeknd",625185,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
19,"Body Like A Back Road","Sam Hunt",620849,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
20,Starboy,"The Weeknd",593644,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
21,"Comin Out Strong",Future,589115,https://open.spotify.com/track/3mRcWCyteY2133a7xVMrYw
22,"Say You Won't Let Go","James Arthur",577881,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
23,"Chained To The Rhythm","Katy Perry",573294,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
24,Cold,"Maroon 5",572325,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
25,Swang,"Rae Sremmurd",565389,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
26,Believer,"Imagine Dragons",546089,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
27,"Scared to Be Lonely","Martin Garrix",542396,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
28,"Bad Things (with Camila Cabello)","Machine Gun Kelly",539424,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
29,Closer,"The Chainsmokers",537182,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
30,Selfish,Future,523405,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
31,"How Far I'll Go - From ""Moana""","Alessia Cara",508165,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
32,Caroline,Aminé,494970,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
33,"All Time Low","Jon Bellion",482943,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
34,Moves,"Big Sean",479107,https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS
35,goosebumps,"Travis Scott",461101,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
36,"Black Beatles","Rae Sremmurd",444833,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
37,Weak,AJR,421811,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
38,"Castle on the Hill","Ed Sheeran",421563,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
39,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance The Rapper",420073,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
40,"Call On Me - Ryan Riback Extended Remix",Starley,415070,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
41,"Broccoli (feat. Lil Yachty)",DRAM,414579,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
42,"Party Monster","The Weeknd",414552,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
43,"No Heart","21 Savage",413624,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO
44,"X (feat. Future)","21 Savage",412087,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
45,"Both (feat. Drake)","Gucci Mane",410159,https://open.spotify.com/track/5tFep7dXGd7vEJ668wTPux
46,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",401968,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
47,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",388783,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
48,Location,Khalid,369134,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
49,Redbone,"Childish Gambino",368861,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
50,"24K Magic","Bruno Mars",366288,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
51,"Some Kind Of Drug",G-Eazy,357152,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF
52,"Look at Me!",XXXTENTACION,353721,https://open.spotify.com/track/2oUuLLKS8WbF7ELJcwbqms
53,"No Favors","Big Sean",345713,https://open.spotify.com/track/1MksGqIztTT6M9R1ErKVs8
54,"One Dance",Drake,341848,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
55,"Deja Vu","J. Cole",337670,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
